	artist_name	track_name	id	danceability	energy	loudness	mode	speechiness	instrumentalness	liveness	valence	tempo
0	Harry Styles	As It Was	4LRPiXqCikLlN15c3yImP7	0.52	0.731	-5.338	0	0.0557	0.00101	0.311	0.662	173.93
1	The Wanted	Glad You Came	5yDL13y5giogKs2fSNf7sj	0.722	0.851	-3.873	0	0.0639	0.0	0.108	0.452	126.885
2	Doja Cat	Woman	6Uj1ctrBOjOas8xZXGqKk4	0.824	0.764	-4.175	0	0.0854	0.00294	0.117	0.881	107.998
3	Snoop Dogg	Young, Wild & Free (feat. Bruno Mars)	6YbhspuOar1D9WSSnfe7ds	0.553	0.652	-6.685	1	0.206	0.0	0.111	0.551	94.505
4	Olivia Rodrigo	good 4 u	4ZtFanR9U6ndgddUvNcjcG	0.563	0.664	-5.044	1	0.154	0.0	0.0849	0.688	166.928
5	Starship	We Built This City	6OnfBiiSc9RGKiBKKtZXgQ	0.661	0.908	-4.897	1	0.039	0.0	0.0708	0.656	144.091
6	Lizzo	About Damn Time	1PckUlxKqWQs3RlWXVBLw3	0.836	0.743	-6.305	0	0.0656	0.0	0.335	0.722	108.966
7	Beyoncé	Run the World (Girls)	1uXbwHHfgsXcUKfSZw5ZJ0	0.733	0.899	-4.237	1	0.143	4.72e-05	0.372	0.76	127.086
8	WILLOW	Wait a Minute!	0y60itmpH0aPKsFiGxmtnh	0.764	0.705	-5.279	0	0.0278	1.94e-05	0.0943	0.672	101.003
9	Hombres G	Devuélveme a mi chica	1Wrzhfa5bNlqvsnCztz190	0.603	0.843	-7.597	0	0.0557	0.0337	0.445	0.503	172.676
10	Doja Cat	Need to Know	3Vi5XqYrmQgOYBajMWSvCi	0.664	0.609	-6.509	1	0.0707	0.0	0.0926	0.194	130.041
11	Simple Minds	Don't You (Forget About Me)	3fH4KjXFYMmljxrcGrbPj9	0.66	0.816	-6.61	1	0.0299	0.0181	0.0608	0.678	111.346
12	Dove Cameron	Boyfriend	59CfNbkERJ3NoTXDvoURjj	0.345	0.612	-6.543	0	0.0608	0.0	0.194	0.232	179.773
